name,slug,genre,image_url,description,social_links,
Ben Poole,ben-poole,,,,,
Max Raptor,max-raptor,,,,,
T-34,t-34,,,,,
Hearts Under Fire,hearts-under-fire,,,,,
You And What Army,you-and-what-army,,,,,
Sacred Betrayal,sacred-betrayal,,,,,
Enemo-J,enemo-j,,,,,
The Virginmarys,the-virginmarys,,,,,
Straight Lines,straight-lines,,,,,
Tiger Please,tiger-please,,,,,
Ginger Wildheart,ginger-wildheart,,,,,
DJ Clash (Scott Rowley and Alexander Milas),dj-clash-(scott-rowley-and-alexander-milas),,,,,
The Dirty Feel,the-dirty-feel,,,,,
Ricky Warwick,ricky-warwick,,,,,
The Darkness,the-darkness,,,,,
Thin Lizzy,thin-lizzy,,,,,
Puddle of Mudd,puddle-of-mudd,,,,,
CKY,cky,,,,,
Anti-Flag,anti-flag,,,,,
Destroy Rebuild Until God Shows,destroy-rebuild-until-god-shows,,,,,
Evaline,evaline,,,,,
Danzig,danzig,,,,,
Times of Grace,times-of-grace,,,,,
Hyro Da Hero,hyro-da-hero,,,,,
Asking Alexandria,asking-alexandria,,,,,
Lower Than Atlantis,lower-than-atlantis,,,,,
Royal Republic,royal-republic,,,,,
Betraeus,betraeus,,,,,
Sweet Savage,sweet-savage,,,,,
Modestep,modestep,,,,,
Envy of the State,envy-of-the-state,,,,,
OAF,oaf,,,,,
The Hype Theory,the-hype-theory,,,,,
Page 44,page-44,,,,,
Hill Valley High,hill-valley-high,,,,,
Makethisrelate,makethisrelate,,,,,
Kellermensch,kellermensch,,,,,
The Last Republic,the-last-republic,,,,,
The Dirty Youth,the-dirty-youth,,,,,
Obsessive Compulsive,obsessive-compulsive,,,,,
The Verses,the-verses,,,,,
Skunk Anansie,skunk-anansie,,,,,
Escape the Fate,escape-the-fate,,,,,
All That Remains,all-that-remains,,,,,
Alice Cooper,alice-cooper,,,,,
Twisted Sister,twisted-sister,,,,,
Cheap Trick,cheap-trick,,,,,
Mr. Big,mr.-big,,,,,
Dio Disciples,dio-disciples,,,,,
Dan Reed,dan-reed,,,,,
The BossHoss,the-bosshoss,,,,,
Chthonic,chthonic,,,,,
The King Blues,the-king-blues,,,,,
Evile,evile,,,,,
Trash Talk,trash-talk,,,,,
letlive.,letlive.,,,,,
VersaEmerge,versaemerge,,,,,
Ghost,ghost,,,,,
Straight Line Stitch,straight-line-stitch,,,,,
TRC,trc,,,,,
Houston,houston,,,,,
The Rods,the-rods,,,,,
Dangerous!,dangerous!,,,,,
Kill 21,kill-21,,,,,
The Dangerous Summer,the-dangerous-summer,,,,,
Blitz Kids,blitz-kids,,,,,
Welcome Wednesday,welcome-wednesday,,,,,
The Ocean Between Us,the-ocean-between-us,,,,,
Dripback,dripback,,,,,
Fighting Wolves,fighting-wolves,,,,,
Sons of Icarus,sons-of-icarus,,,,,
Maiden uniteD,maiden-united,,,,,
Intraverse,intraverse,,,,,
The Gaslight Anthem,the-gaslight-anthem,,,,,
The Pretty Reckless,the-pretty-reckless,,,,,
Biohazard,biohazard,,,,,
Rob Zombie,rob-zombie,,,,,
The Cult,the-cult,,,,,
Black Veil Brides,black-veil-brides,,,,,
Gwar,gwar,,,,,
Kvelertak,kvelertak,,,,,
Yashin,yashin,,,,,
Collapse,collapse,,,,,
Frank Turner,frank-turner,,,,,
Plain White T's,plain-white-t's,,,,,
Framing Hanley,framing-hanley,,,,,
Deaf Havana,deaf-havana,,,,,
My Darkest Days,my-darkest-days,,,,,
Sworn Amongst,sworn-amongst,,,,,
Hell,hell,,,,,
Trucker Diablo,trucker-diablo,,,,,
Knock Out Kaine,knock-out-kaine,,,,,
Jameson Raid,jameson-raid,,,,,
Baptized in Blood,baptized-in-blood,,,,,
Illuminatus,illuminatus,,,,,
ACODA,acoda,,,,,
Floods,floods,,,,,
Autumn In Disguise,autumn-in-disguise,,,,,
October File,october-file,,,,,
Belligerence,belligerence,,,,,
Skeletal Damage,skeletal-damage,,,,,
Dave McPherson,dave-mcpherson,,,,,
"Red, White and Blues","red,-white-and-blues",,,,,
Heaven's Basement,heaven's-basement,,,,,
Voodoo Johnson,voodoo-johnson,,,,,
Raven Vandelle,raven-vandelle,,,,,
Chase & Status,chase-&-status,,,,,
NOFX,nofx,,,,,
Fear Factory,fear-factory,,,,,
Slash Featuring Myles Kennedy & the Conspirators,slash-featuring-myles-kennedy-&-the-conspirators,,,,,
Little Angels,little-angels,,,,,
Terrorvision,terrorvision,,,,,
The Quireboys,the-quireboys,,,,,
